id,name_ko,name_en,category,difficulty,ingredients,ingredients_en,steps,steps_en,kcal,protein,fat,carbs,benefits,benefits_en
1,두부 구이,Grilled Tofu,메인,보통,두부|브로콜리|피망|대두,Tofu|Broccoli|Bell pepper|Soy,두부와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Tofu and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,350,25,20,18,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
2,쌀 조림,Braised Rice,메인,보통,쌀|새우,Rice|Shrimp,쌀와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Rice and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
3,닭가슴살 샐러드,Salad Chicken breast,메인,보통,닭가슴살|치즈|대파|대두,Chicken breast|Cheese|Green onion|Soy,닭가슴살와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Chicken breast and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
4,돼지고기 구이,Grilled Pork,메인,보통,돼지고기|밀가루,Pork|Flour,돼지고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Pork and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
5,두부 파스타,Pasta Tofu,메인,보통,두부|피망|밀가루|치즈,Tofu|Bell pepper|Flour|Cheese,두부와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Tofu and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,350,25,20,18,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
6,당근 찜,Steamed Carrot,메인,보통,당근|브로콜리|대파|버섯,Carrot|Broccoli|Green onion|Mushroom,당근와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Carrot and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
7,고구마 비빔,Mixed Sweet potato,메인,보통,고구마|버섯|피망,Sweet potato|Mushroom|Bell pepper,고구마와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Sweet potato and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
8,닭가슴살 수프,Soup Chicken breast,메인,보통,닭가슴살|치즈,Chicken breast|Cheese,닭가슴살와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Chicken breast and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
9,고구마 구이,Grilled Sweet potato,메인,보통,고구마|대두|브로콜리,Sweet potato|Soy|Broccoli,고구마와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Sweet potato and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
10,쌀 볶음,Stir-fry Rice,메인,보통,쌀|밀가루|마늘,Rice|Flour|Garlic,쌀와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Rice and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
11,닭가슴살 비빔,Mixed Chicken breast,메인,보통,닭가슴살|브로콜리|대두|우유,Chicken breast|Broccoli|Soy|Milk,닭가슴살와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Chicken breast and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
12,돼지고기 파스타,Pasta Pork,메인,보통,돼지고기|마늘|대파|피망,Pork|Garlic|Green onion|Bell pepper,돼지고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Pork and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
13,닭가슴살 전,Pancake Chicken breast,메인,보통,닭가슴살|마늘,Chicken breast|Garlic,닭가슴살와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Chicken breast and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
14,감자 비빔,Mixed Potato,메인,보통,감자|새우|우유,Potato|Shrimp|Milk,감자와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Potato and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
15,고구마 조림,Braised Sweet potato,메인,보통,고구마|피망|브로콜리,Sweet potato|Bell pepper|Broccoli,고구마와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Sweet potato and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
16,애호박 구이,Grilled Zucchini,메인,보통,애호박|버섯|밀가루|피망,Zucchini|Mushroom|Flour|Bell pepper,애호박와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Zucchini and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
17,당근 조림,Braised Carrot,메인,보통,당근|브로콜리|밀가루,Carrot|Broccoli|Flour,당근와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Carrot and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
18,참치캔 찜,Steamed Canned tuna,메인,보통,참치캔|대파|피망,Canned tuna|Green onion|Bell pepper,참치캔와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Canned tuna and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
19,김치 볶음,Stir-fry Kimchi,메인,보통,김치|치즈|브로콜리,Kimchi|Cheese|Broccoli,김치와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Kimchi and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
20,돼지고기 구이,Grilled Pork,메인,보통,돼지고기|우유|피망|버터,Pork|Milk|Bell pepper|Butter,돼지고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Pork and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
21,참치캔 비빔,Mixed Canned tuna,메인,보통,참치캔|버섯|브로콜리,Canned tuna|Mushroom|Broccoli,참치캔와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Canned tuna and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
22,돼지고기 조림,Braised Pork,메인,보통,돼지고기|밀가루|새우|브로콜리,Pork|Flour|Shrimp|Broccoli,돼지고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Pork and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
23,양파 파스타,Pasta Onion,메인,보통,양파|치즈|우유|피망,Onion|Cheese|Milk|Bell pepper,양파와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Onion and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
24,가지 조림,Braised Eggplant,메인,보통,가지|마늘|대파,Eggplant|Garlic|Green onion,가지와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Eggplant and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
25,소고기 구이,Grilled Beef,메인,보통,소고기|버섯|치즈|마늘,Beef|Mushroom|Cheese|Garlic,소고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Beef and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
26,양파 비빔,Mixed Onion,메인,보통,양파|버터|밀가루|브로콜리,Onion|Butter|Flour|Broccoli,양파와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Onion and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
